Schedule,Step_EUs
(TRANSFER Atlantis Carpania (AvailableLand 1)) | (TRANSFER Atlantis Carpania (AvailableLand 1)) | (TRANSFER Atlantis Carpania (AvailableLand 1)) | (TRANSFER Atlantis Carpania (AvailableLand 1)) | (TRANSFORM Atlantis MetallicAlloys x25),0.0000;-3.7500;-3.7500;-3.7500;-3.7500;7.1042
(TRANSFER Atlantis Carpania (AvailableLand 1)) | (TRANSFER Atlantis Carpania (AvailableLand 1)) | (TRANSFER Atlantis Carpania (AvailableLand 1)) | (TRANSFER Atlantis Carpania (AvailableLand 1)) | (TRANSFORM Atlantis Electronics x5),0.0000;-3.7500;-3.7500;-3.7500;-3.7500;0.3527
(TRANSFER Atlantis Dinotopia (AvailableLand 1)) | (TRANSFER Atlantis Dinotopia (AvailableLand 1)) | (TRANSFER Atlantis Dinotopia (AvailableLand 1)) | (TRANSFER Atlantis Dinotopia (AvailableLand 1)) | (TRANSFORM Atlantis MetallicAlloys x25),0.0000;-3.7500;-3.7500;-3.7500;-3.7500;7.1042
(TRANSFER Atlantis Dinotopia (AvailableLand 1)) | (TRANSFER Atlantis Dinotopia (AvailableLand 1)) | (TRANSFER Atlantis Dinotopia (AvailableLand 1)) | (TRANSFER Atlantis Dinotopia (AvailableLand 1)) | (TRANSFORM Atlantis Electronics x5),0.0000;-3.7500;-3.7500;-3.7500;-3.7500;0.3527
(TRANSFER Atlantis Elysium (AvailableLand 1)) | (TRANSFER Atlantis Elysium (AvailableLand 1)) | (TRANSFER Atlantis Elysium (AvailableLand 1)) | (TRANSFER Atlantis Elysium (AvailableLand 1)) | (TRANSFORM Atlantis MetallicAlloys x25),0.0000;-3.7500;-3.7500;-3.7500;-3.7500;7.1042
